review_id,video,verdict,note
t0-001,storage/t0-probe/clips/t0-001.mp4,elsewhere,
t0-002,storage/t0-probe/clips/t0-002.mp4,elsewhere,
t0-003,storage/t0-probe/clips/t0-003.mp4,absent,
t0-004,storage/t0-probe/clips/t0-004.mp4,absent,Ir
t0-005,storage/t0-probe/clips/t0-005.mp4,unsure,Ir
t0-006,storage/t0-probe/clips/t0-006.mp4,elsewhere,
t0-007,storage/t0-probe/clips/t0-007.mp4,elsewhere,
t0-008,storage/t0-probe/clips/t0-008.mp4,near_bowl_no_care,
t0-009,storage/t0-probe/clips/t0-009.mp4,near_bowl_no_care,
t0-010,storage/t0-probe/clips/t0-010.mp4,elsewhere,
t0-011,storage/t0-probe/clips/t0-011.mp4,elsewhere,
t0-012,storage/t0-probe/clips/t0-012.mp4,elsewhere,
t0-013,storage/t0-probe/clips/t0-013.mp4,elsewhere,
t0-014,storage/t0-probe/clips/t0-014.mp4,elsewhere,
t0-015,storage/t0-probe/clips/t0-015.mp4,near_bowl_no_care,
t0-016,storage/t0-probe/clips/t0-016.mp4,elsewhere,
t0-017,storage/t0-probe/clips/t0-017.mp4,elsewhere,
t0-018,storage/t0-probe/clips/t0-018.mp4,near_bowl_no_care,
t0-019,storage/t0-probe/clips/t0-019.mp4,absent,
t0-020,storage/t0-probe/clips/t0-020.mp4,absent,
t0-021,storage/t0-probe/clips/t0-021.mp4,elsewhere,
t0-022,storage/t0-probe/clips/t0-022.mp4,elsewhere,
t0-023,storage/t0-probe/clips/t0-023.mp4,elsewhere,
t0-024,storage/t0-probe/clips/t0-024.mp4,near_bowl_no_care,
t0-025,storage/t0-probe/clips/t0-025.mp4,absent,왜 찍혔는지도 모르겠음
t0-026,storage/t0-probe/clips/t0-026.mp4,near_bowl_no_care,
t0-027,storage/t0-probe/clips/t0-027.mp4,elsewhere,
t0-028,storage/t0-probe/clips/t0-028.mp4,near_bowl_no_care,
t0-029,storage/t0-probe/clips/t0-029.mp4,elsewhere,
t0-030,storage/t0-probe/clips/t0-030.mp4,near_bowl_no_care,
t0-031,storage/t0-probe/clips/t0-031.mp4,absent,Ir?
t0-032,storage/t0-probe/clips/t0-032.mp4,near_bowl_no_care,
t0-033,storage/t0-probe/clips/t0-033.mp4,near_bowl_no_care,Ir?
t0-034,storage/t0-probe/clips/t0-034.mp4,elsewhere,
t0-035,storage/t0-probe/clips/t0-035.mp4,elsewhere,
t0-036,storage/t0-probe/clips/t0-036.mp4,elsewhere,
t0-037,storage/t0-probe/clips/t0-037.mp4,absent,Ir?
t0-038,storage/t0-probe/clips/t0-038.mp4,absent,
t0-039,storage/t0-probe/clips/t0-039.mp4,elsewhere,
t0-040,storage/t0-probe/clips/t0-040.mp4,absent,Ir?
t0-041,storage/t0-probe/clips/t0-041.mp4,elsewhere,
t0-042,storage/t0-probe/clips/t0-042.mp4,absent,Ir?
t0-043,storage/t0-probe/clips/t0-043.mp4,elsewhere,
t0-044,storage/t0-probe/clips/t0-044.mp4,absent,Ir?
t0-045,storage/t0-probe/clips/t0-045.mp4,near_bowl_no_care,
t0-046,storage/t0-probe/clips/t0-046.mp4,near_bowl_no_care,
t0-047,storage/t0-probe/clips/t0-047.mp4,elsewhere,
t0-048,storage/t0-probe/clips/t0-048.mp4,absent,
t0-049,storage/t0-probe/clips/t0-049.mp4,elsewhere,
t0-050,storage/t0-probe/clips/t0-050.mp4,elsewhere,
t0-051,storage/t0-probe/clips/t0-051.mp4,elsewhere,
t0-052,storage/t0-probe/clips/t0-052.mp4,elsewhere,
t0-053,storage/t0-probe/clips/t0-053.mp4,elsewhere,
t0-054,storage/t0-probe/clips/t0-054.mp4,near_bowl_no_care,
t0-055,storage/t0-probe/clips/t0-055.mp4,elsewhere,
t0-056,storage/t0-probe/clips/t0-056.mp4,elsewhere,
t0-057,storage/t0-probe/clips/t0-057.mp4,elsewhere,
t0-058,storage/t0-probe/clips/t0-058.mp4,elsewhere,
t0-059,storage/t0-probe/clips/t0-059.mp4,near_bowl_no_care,
t0-060,storage/t0-probe/clips/t0-060.mp4,elsewhere,
t0-061,storage/t0-probe/clips/t0-061.mp4,elsewhere,
t0-062,storage/t0-probe/clips/t0-062.mp4,elsewhere,
t0-063,storage/t0-probe/clips/t0-063.mp4,near_bowl_no_care,
t0-064,storage/t0-probe/clips/t0-064.mp4,near_bowl_no_care,
t0-065,storage/t0-probe/clips/t0-065.mp4,elsewhere,
t0-066,storage/t0-probe/clips/t0-066.mp4,elsewhere,
t0-067,storage/t0-probe/clips/t0-067.mp4,near_bowl_no_care,
t0-068,storage/t0-probe/clips/t0-068.mp4,elsewhere,
t0-069,storage/t0-probe/clips/t0-069.mp4,near_bowl_no_care,
t0-070,storage/t0-probe/clips/t0-070.mp4,near_bowl_no_care,
t0-071,storage/t0-probe/clips/t0-071.mp4,elsewhere,
t0-072,storage/t0-probe/clips/t0-072.mp4,elsewhere,
t0-073,storage/t0-probe/clips/t0-073.mp4,near_bowl_no_care,
t0-074,storage/t0-probe/clips/t0-074.mp4,elsewhere,
t0-075,storage/t0-probe/clips/t0-075.mp4,near_bowl_no_care,
t0-076,storage/t0-probe/clips/t0-076.mp4,elsewhere,
t0-077,storage/t0-probe/clips/t0-077.mp4,elsewhere,
t0-078,storage/t0-probe/clips/t0-078.mp4,elsewhere,
t0-079,storage/t0-probe/clips/t0-079.mp4,elsewhere,
t0-080,storage/t0-probe/clips/t0-080.mp4,absent,Ir?
# verdict 허용값: eating|drinking|licking_surface|near_bowl_no_care|elsewhere|absent|unsure
