review_id,video,verdict,note
t1-001,storage/t1-highlight/clips/t1-001.mp4,,
t1-002,storage/t1-highlight/clips/t1-002.mp4,,
t1-003,storage/t1-highlight/clips/t1-003.mp4,,
t1-004,storage/t1-highlight/clips/t1-004.mp4,,
t1-005,storage/t1-highlight/clips/t1-005.mp4,,
t1-006,storage/t1-highlight/clips/t1-006.mp4,,
t1-007,storage/t1-highlight/clips/t1-007.mp4,,
t1-008,storage/t1-highlight/clips/t1-008.mp4,,
t1-009,storage/t1-highlight/clips/t1-009.mp4,,
t1-010,storage/t1-highlight/clips/t1-010.mp4,,
t1-011,storage/t1-highlight/clips/t1-011.mp4,,
t1-012,storage/t1-highlight/clips/t1-012.mp4,,
t1-013,storage/t1-highlight/clips/t1-013.mp4,,
t1-014,storage/t1-highlight/clips/t1-014.mp4,,
t1-015,storage/t1-highlight/clips/t1-015.mp4,,
t1-016,storage/t1-highlight/clips/t1-016.mp4,,
t1-017,storage/t1-highlight/clips/t1-017.mp4,,
t1-018,storage/t1-highlight/clips/t1-018.mp4,,
t1-019,storage/t1-highlight/clips/t1-019.mp4,,
t1-020,storage/t1-highlight/clips/t1-020.mp4,,
t1-021,storage/t1-highlight/clips/t1-021.mp4,,
t1-022,storage/t1-highlight/clips/t1-022.mp4,,
t1-023,storage/t1-highlight/clips/t1-023.mp4,,
t1-024,storage/t1-highlight/clips/t1-024.mp4,,
t1-025,storage/t1-highlight/clips/t1-025.mp4,,
t1-026,storage/t1-highlight/clips/t1-026.mp4,,
t1-027,storage/t1-highlight/clips/t1-027.mp4,,
t1-028,storage/t1-highlight/clips/t1-028.mp4,,
t1-029,storage/t1-highlight/clips/t1-029.mp4,,
t1-030,storage/t1-highlight/clips/t1-030.mp4,,
t1-031,storage/t1-highlight/clips/t1-031.mp4,,
t1-032,storage/t1-highlight/clips/t1-032.mp4,,
t1-033,storage/t1-highlight/clips/t1-033.mp4,,
t1-034,storage/t1-highlight/clips/t1-034.mp4,,
t1-035,storage/t1-highlight/clips/t1-035.mp4,,
t1-036,storage/t1-highlight/clips/t1-036.mp4,,
t1-037,storage/t1-highlight/clips/t1-037.mp4,,
t1-038,storage/t1-highlight/clips/t1-038.mp4,,
t1-039,storage/t1-highlight/clips/t1-039.mp4,,
t1-040,storage/t1-highlight/clips/t1-040.mp4,,
# verdict 허용값: informative_care|informative_other|not_informative|absent|unsure
